0,1,2
"19 Dec 2022, 19:06",Deu Ruim,Miguel - waves - Tame Impala Remix
"19 Dec 2022, 19:02",Deu Ruim,JVKE - golden hour - Jungle Remix
"19 Dec 2022, 18:59",Tim Atlas,Wallflower
"19 Dec 2022, 18:55",Parcels,Tieduprightnow
"19 Dec 2022, 18:52",Phoebe Bridgers,Kyoto (The Marías Remix)
"19 Dec 2022, 18:48",Phum Viphurit,Lover Boy
"19 Dec 2022, 18:44",Alfie Templeman,Obvious Guy
"19 Dec 2022, 18:40",Magdalena Bay,The Beginning
"19 Dec 2022, 18:35",MGMT,Kids
"19 Dec 2022, 18:31",Unknown Mortal Orchestra,Hunnybee
"19 Dec 2022, 18:25",Arctic Monkeys,Jet Skis on the Moat
"19 Dec 2022, 17:09",Arctic Monkeys,Do Me a Favour
"19 Dec 2022, 17:04",The Strokes,The Adults Are Talking
"19 Dec 2022, 17:00",Arctic Monkeys,Jet Skis on the Moat
"19 Dec 2022, 16:22",The Strokes,Reptilia
"19 Dec 2022, 16:19",Cage the Elephant,Cold Cold Cold
"19 Dec 2022, 16:15",Arctic Monkeys,Do Me a Favour
"19 Dec 2022, 16:10",The Strokes,The Adults Are Talking
"19 Dec 2022, 16:07",Arctic Monkeys,Jet Skis on the Moat
"19 Dec 2022, 15:08",The Arcs,Eyez
"19 Dec 2022, 15:05",Arctic Monkeys,I Ain’t Quite Where I Think I Am
"19 Dec 2022, 15:02",Cage the Elephant,Cigarette Daydreams
"19 Dec 2022, 14:56",The Kooks,Sweet Emotion
"19 Dec 2022, 14:51",The Strokes,The Adults Are Talking
"19 Dec 2022, 14:48",The Black Keys,Tighten Up
"19 Dec 2022, 14:42",Radiohead,Weird Fishes/ Arpeggi
"19 Dec 2022, 14:39",The Arcs,Searching the Blue
"19 Dec 2022, 14:37",Arctic Monkeys,Riot Van
"19 Dec 2022, 14:33",Cage the Elephant,Telescope
"19 Dec 2022, 14:30",The Kooks,Bad Habit
"19 Dec 2022, 14:25",The Strokes,"Call It Fate, Call It Karma"
"19 Dec 2022, 14:22",The Black Keys,Turn Blue
"19 Dec 2022, 14:18",Muse,Supermassive Black Hole
"19 Dec 2022, 14:14",Radiohead,Jigsaw Falling Into Place
"19 Dec 2022, 14:11",Arctic Monkeys,Why'd You Only Call Me When You're High?
"19 Dec 2022, 14:08",Cage the Elephant,Cold Cold Cold
"19 Dec 2022, 14:05",The Kooks,Always Where I Need to Be
"19 Dec 2022, 14:01",The Strokes,Tap Out
"19 Dec 2022, 13:58",The Black Keys,Dead and Gone
"19 Dec 2022, 13:54",The White Stripes,Seven Nation Army
"19 Dec 2022, 13:50",Radiohead,No Surprises
"19 Dec 2022, 13:47",Arctic Monkeys,Stop the World I Wanna Get Off with You
"19 Dec 2022, 13:42",Deu Ruim,Cage the Elephant - Right Before My Eyes - Unpeeled
"19 Dec 2022, 13:39",The Kooks,Taking Pictures of You
"19 Dec 2022, 13:36",The Strokes,Reptilia
