0,1,2
"14 Dec 2022, 23:23",Foo Fighters,Everlong
"14 Dec 2022, 23:19",Neon Trees,Animal
"14 Dec 2022, 23:15",The Avalanches,Since I Left You
"14 Dec 2022, 23:10",Billy Idol,Rebel Yell
"14 Dec 2022, 23:08",Dominic Fike,Babydoll
"14 Dec 2022, 23:05",Deu Ruim,U2 - Pride (In The Name Of Love) - Remastered 2009
"14 Dec 2022, 23:01",The Fratellis,She's Not Gone Yet But She's Leaving
"14 Dec 2022, 22:57",Neutral Milk Hotel,In the Aeroplane Over the Sea
"14 Dec 2022, 22:53",Arctic Monkeys,505
"14 Dec 2022, 22:49",MGMT,When You Die
"14 Dec 2022, 22:39",Avenged Sevenfold,Demons
"14 Dec 2022, 22:29",Kings of Leon,On Call
"14 Dec 2022, 22:25",Kings of Leon,Comeback Story
"14 Dec 2022, 22:20",Kings of Leon,Arizona
"14 Dec 2022, 22:16",Kings of Leon,Use Somebody
"14 Dec 2022, 22:11",The Strokes,Last Nite
"14 Dec 2022, 22:07",Young the Giant,Cough Syrup
"14 Dec 2022, 19:58",The Strokes,Threat Of Joy
"14 Dec 2022, 17:55",Deu Ruim,U2 - Ordinary Love - Extraordinary Mix
"14 Dec 2022, 17:51",Wolfmother,Vagabond
"14 Dec 2022, 17:48",Twisted Sister,I Wanna Rock
"14 Dec 2022, 17:46",Mac DeMarco,This Old Dog
"14 Dec 2022, 17:42",Panic! at the Disco,Nearly Witches (Ever Since We Met...)
"14 Dec 2022, 17:42",The Voidz,Leave It In My Dreams
"14 Dec 2022, 17:37",Panic! at the Disco,Nearly Witches (Ever Since We Met...)
"14 Dec 2022, 17:33",Miike Snow,Animal
"14 Dec 2022, 17:29",Cage the Elephant,Come a Little Closer
"14 Dec 2022, 17:25",Mac DeMarco,Ode to Viceroy
"14 Dec 2022, 17:23",Dutch Criminal Record,On the Fence
"14 Dec 2022, 17:20",Arctic Monkeys,No Buses
"14 Dec 2022, 17:16",The Strumbellas,Spirits
"14 Dec 2022, 17:14",Mac DeMarco,I'm a Man
"14 Dec 2022, 17:10",Panic! at the Disco,House of Memories
"14 Dec 2022, 17:07",Arctic Monkeys,Why'd You Only Call Me When You're High?
"14 Dec 2022, 17:05",Arctic Monkeys,Love Is a Laserquest
"14 Dec 2022, 16:59",Deu Ruim,Cage the Elephant - Instant Crush - Unpeeled
"14 Dec 2022, 16:56",The Killers,Mr. Brightside
"14 Dec 2022, 16:53",The Kooks,Junk of the Heart (Happy)
"14 Dec 2022, 16:41",The Black Keys,Tighten Up
"14 Dec 2022, 16:34",Fall Out Boy,The Phoenix
"14 Dec 2022, 16:30",Deu Ruim,Grouplove - Let Me In - From The Fault in Our Stars Soundtrack
"14 Dec 2022, 16:26",Tame Impala,Borderline
"14 Dec 2022, 16:23",Mac DeMarco,Let Her Go
"14 Dec 2022, 16:20",Arctic Monkeys,I Wanna Be Yours
"14 Dec 2022, 16:20",Dreamer Isioma,Valentina
"14 Dec 2022, 14:55",Dreamer Isioma,Valentina
"14 Dec 2022, 14:52",Mac DeMarco,No Other Heart
"14 Dec 2022, 14:48",The Naked and Famous,Young Blood
"14 Dec 2022, 14:44",The Avalanches,Because I’m Me
"14 Dec 2022, 14:40",Aurora,Conqueror
"14 Dec 2022, 14:36",Cambriana,The Sad Facts
"14 Dec 2022, 14:33",Arctic Monkeys,Do Me a Favour
"14 Dec 2022, 14:28",Arctic Monkeys,There’d Better Be a Mirrorball
"14 Dec 2022, 14:19","Tyler, the Creator",SWEET / I THOUGHT YOU WANTED TO DANCE (feat. Brent Faiyaz & Fana Hues)
"14 Dec 2022, 14:15",Cage the Elephant,Trouble
"14 Dec 2022, 14:12",Colony House,Silhouettes
"14 Dec 2022, 14:08",The Strokes,"Call It Fate, Call It Karma"
"14 Dec 2022, 14:07",Steve Lacy,Basement Jack
"14 Dec 2022, 14:02",Panic! at the Disco,Hurricane
"14 Dec 2022, 13:59",Fall Out Boy,Immortals
"14 Dec 2022, 13:56",Arctic Monkeys,Fluorescent Adolescent
"14 Dec 2022, 13:52",King Krule,Baby Blue
"14 Dec 2022, 13:49",The Killers,Boy
"14 Dec 2022, 13:45",Cage the Elephant,Cigarette Daydreams
"14 Dec 2022, 13:42",The Black Keys,Lonely Boy
"14 Dec 2022, 13:39",The Strokes,Call Me Back
"14 Dec 2022, 13:37",The Kooks,Naive
"14 Dec 2022, 13:37",Mac DeMarco,The Way You'd Love Her
"14 Dec 2022, 13:33",The Kooks,Naive
"14 Dec 2022, 13:30",Husky,Ghost
"14 Dec 2022, 13:26",The 1975,Girls
"14 Dec 2022, 13:22",Arctic Monkeys,Jet Skis on the Moat
"13 Dec 2022, 23:50",Paulo Nazareth,Não é Mais Segredo
"13 Dec 2022, 23:47",Estevão Queiroga,A Partida e o Norte
"13 Dec 2022, 23:36",Juliano Son,Espero por Ti
"13 Dec 2022, 23:32",Os Arrais,A voz (feat. Daniela Araújo)
"13 Dec 2022, 21:37",Terno Rei,Brutal
"13 Dec 2022, 21:35",Julio Secchin,FESTA DE ADEUS
"13 Dec 2022, 21:32",Terno Rei,Internet
"13 Dec 2022, 21:29",Julio Secchin,PRA QUE SER TÃO NORMAL
"13 Dec 2022, 21:26",Terno Rei,Só Eu Sei
"13 Dec 2022, 21:23",O Terno,Volta
"13 Dec 2022, 21:20",Lagum,NÃO VOU FALAR DE AMOR
"13 Dec 2022, 21:17",Jovem Dionisio,Amor de Cão
"13 Dec 2022, 21:15",Terno Rei,Dia Lindo
"13 Dec 2022, 21:12",Tiago Iorc,Pode Se Achegar
"13 Dec 2022, 21:08",Terno Rei,Esperando Você
"13 Dec 2022, 21:04",Hot,Presença
"13 Dec 2022, 21:00",O Terno,Atrás / Além
"13 Dec 2022, 20:56",Maglore,Café com Pão
"13 Dec 2022, 20:54",Terno Rei,Trailers
"13 Dec 2022, 20:48",Tim Bernardes,A Balada de Tim Bernardes
"13 Dec 2022, 20:45",Tim Bernardes,Mistificar
"13 Dec 2022, 20:40",Tim Bernardes,Última Vez
"13 Dec 2022, 20:37",Tim Bernardes,Esse Ar
"13 Dec 2022, 20:32",Tim Bernardes,Olha
"13 Dec 2022, 20:28",Tim Bernardes,Velha Amiga
"13 Dec 2022, 20:25",Tim Bernardes,Falta
"13 Dec 2022, 20:20",Tim Bernardes,Meus 26
"13 Dec 2022, 20:17",Tim Bernardes,BB (Garupa de Moto Amarela)
"13 Dec 2022, 20:13",Tim Bernardes,Fases
"13 Dec 2022, 20:11",Tim Bernardes,"Nascer, Viver, Morrer"
"13 Dec 2022, 20:08",Panic! at the Disco,"There's a Good Reason These Tables Are Numbered Honey, You Just Haven't Thought of It Yet"
"13 Dec 2022, 20:04",Panic! at the Disco,But It's Better If You Do
"13 Dec 2022, 20:01",Panic! at the Disco,Lying Is the Most Fun a Girl Can Have Without Taking Her Clothes Off
"13 Dec 2022, 19:58",Panic! at the Disco,The Only Difference Between Martyrdom and Suicide Is Press Coverage
"13 Dec 2022, 19:54",Panic! at the Disco,LA Devotee
"13 Dec 2022, 19:52",Panic! at the Disco,Victorious
"13 Dec 2022, 19:49",Panic! at the Disco,Mercenary
"13 Dec 2022, 19:45",Tame Impala,Elephant
"13 Dec 2022, 19:41",Deu Ruim,Pixies - Where Is My Mind? - Remastered
"13 Dec 2022, 19:38",Alex Turner,Stuck on the Puzzle
"13 Dec 2022, 19:35",The Kooks,Junk of the Heart (Happy)
"13 Dec 2022, 19:32",The Vaccines,Post Break-Up Sex
"13 Dec 2022, 19:28",Gorillaz,On Melancholy Hill
"13 Dec 2022, 19:24",The Killers,Smile Like You Mean It
"13 Dec 2022, 19:19",The Killers,All These Things That I've Done
"13 Dec 2022, 19:14",U2,The Fly
"13 Dec 2022, 19:09",U2,One
"13 Dec 2022, 19:04",U2,Until the End of the World
"13 Dec 2022, 18:59",U2,Who's Gonna Ride Your Wild Horses
"13 Dec 2022, 18:56",U2,Desire
"13 Dec 2022, 18:51",Deu Ruim,U2 - With Or Without You - remastered
"13 Dec 2022, 18:46",Deu Ruim,U2 - Where The Streets Have No Name - Remastered
"13 Dec 2022, 18:41",Deu Ruim,U2 - Bullet The Blue Sky - Remastered 2007
"13 Dec 2022, 18:35",Deu Ruim,U2 - Bad - Remastered 2009
"13 Dec 2022, 18:30",Deu Ruim,U2 - Sunday Bloody Sunday - Remastered 2008
"13 Dec 2022, 18:26",Deu Ruim,U2 - Two Hearts Beat As One - Remastered 2008
"13 Dec 2022, 18:24",Deu Ruim,U2 - October - Remastered 2008
"13 Dec 2022, 18:20",Deu Ruim,U2 - Invisible - (RED) Edit
"13 Dec 2022, 18:16",Deu Ruim,U2 - 11 O'Clock Tick Tock - Remastered
"13 Dec 2022, 18:13",Deu Ruim,U2 - I Will Follow - Remastered 2008
"13 Dec 2022, 18:09",U2,Song for Someone
"13 Dec 2022, 18:06",Deu Ruim,U2 - Stories For Boys - Remastered 2008
"13 Dec 2022, 18:01",U2,Cedarwood Road
"13 Dec 2022, 17:56",U2,Lights of Home
"13 Dec 2022, 17:53",Deu Ruim,U2 - Ordinary Love - Extraordinary Mix
"13 Dec 2022, 17:49",Vivendo do Ócio,Nostalgia
"13 Dec 2022, 17:46",Moptop,Como se comportar
"13 Dec 2022, 17:43",Terno Rei,Solidão de Volta
"13 Dec 2022, 17:39",Los Hermanos,Do Sétimo Andar
"13 Dec 2022, 17:36",zimbra,Azul
"13 Dec 2022, 17:33",O Grilo,Sambinha
"13 Dec 2022, 17:29",Rodrigo Alarcon,Apesar de Querer
"13 Dec 2022, 17:25",Moptop,Contramão
"13 Dec 2022, 17:23",Vitroles,Blasé
"13 Dec 2022, 17:20",Luiz Lins,Eu Tô Bem
"13 Dec 2022, 17:18",Lagum,Se For pra Ser
"13 Dec 2022, 17:15",Cícero,Some Lazy Days
"13 Dec 2022, 17:11",Los Hermanos,O Velho e o Moço
"13 Dec 2022, 17:08",Jovem Dionisio,É Osso
"13 Dec 2022, 17:05",jambu,Fora do Padrão
"13 Dec 2022, 17:01",Dingo,Anéis de Saturno
"13 Dec 2022, 16:58",Clarice Falcão,Oitavo Andar
"13 Dec 2022, 16:57",Terno Rei,Dia Lindo
"13 Dec 2022, 16:53",Los Hermanos,A Flor
"13 Dec 2022, 16:49",Supercombo,Morar
"13 Dec 2022, 16:46",Supercombo,Xepa das Estrelas
"13 Dec 2022, 16:43",Supercombo,Cela
"13 Dec 2022, 16:40",Supercombo,Parafuso a Menos
"13 Dec 2022, 16:36",Supercombo,Meu Colorista
"13 Dec 2022, 16:33",Supercombo,2 e 1
"13 Dec 2022, 16:30",Supercombo,Robozin
"13 Dec 2022, 16:27",Supercombo,Menina Largata
"13 Dec 2022, 16:23",Supercombo,Maremotos
"13 Dec 2022, 16:20",Supercombo,O Guerreiro e a Selva
"13 Dec 2022, 12:00",Glocca Morra,railing
"13 Dec 2022, 11:58",pictures of vernon,Camp Games 1.1
"13 Dec 2022, 11:57",LVL UP,*_*
"13 Dec 2022, 11:56",Joyce Manor,Catalina Fight Song
"12 Dec 2022, 22:56",Chet Baker,I Fall in Love Too Easily
"12 Dec 2022, 22:49",Jacob Collier,Feel (feat. Lianne La Havas)
"12 Dec 2022, 22:46",Snoh Aalegra,Fool For You
"12 Dec 2022, 22:36",Bill Withers,Can We Pretend
"12 Dec 2022, 22:32",Dominic Fike,Açaí Bowl
"12 Dec 2022, 22:28",Julie London,I'm in the Mood for Love
"12 Dec 2022, 22:16",Deu Ruim,Joy Crookes - Don't Let Me Down - Demo
"12 Dec 2022, 22:10",Djavan,Oceano
"12 Dec 2022, 21:53",Cazuza,Preciso Dizer Que Te Amo
"12 Dec 2022, 21:48",Haikaiss,Sem Graça
"12 Dec 2022, 21:46",Ethan Surman,C'est la vie
"12 Dec 2022, 21:40",Declan McKenna,Make Me Your Queen
"12 Dec 2022, 21:37",Panic! at the Disco,Far Too Young to Die
"12 Dec 2022, 21:33",The Strokes,Threat Of Joy
"12 Dec 2022, 21:29",Arctic Monkeys,Black Treacle
"12 Dec 2022, 21:23",AC/DC,Let There Be Rock
"12 Dec 2022, 21:16",Arctic Monkeys,The Ultracheese
"12 Dec 2022, 21:13",Phoenix,1901
"12 Dec 2022, 21:10",Borges,Iphone Branco
"12 Dec 2022, 21:07",Entre Linhas,Cake
"12 Dec 2022, 21:05",WIU,Coração De Gelo
"12 Dec 2022, 21:00",Supercombo,O Guerreiro e a Selva
"12 Dec 2022, 20:57",Supercombo,Guarda-Chuva
"12 Dec 2022, 20:54",Mac DeMarco,Salad Days
"12 Dec 2022, 20:49",alt-J,Losing My Mind
"12 Dec 2022, 20:44",Arcade Fire,Everything Now
"12 Dec 2022, 20:39",Beirut,Santa Fe
"12 Dec 2022, 12:38",The Avalanches,Because I’m Me
"12 Dec 2022, 12:35",The Lumineers,WHERE WE ARE
"12 Dec 2022, 12:31",AnnenMayKantereit,Tom's Diner
"12 Dec 2022, 12:27",AnnenMayKantereit,Tom's Diner
"12 Dec 2022, 12:23",Tim Bernardes,Não
"12 Dec 2022, 12:19",Kaiser Chiefs,You Can Have It All
"12 Dec 2022, 12:14",Alex Turner,Piledriver Waltz
"12 Dec 2022, 12:10",The Last Shadow Puppets,Miracle Aligner
"12 Dec 2022, 12:06",The Lumineers,REPRISE
"12 Dec 2022, 12:02",The Backseat Lovers,Pool House
"12 Dec 2022, 11:58",Sticky Fingers,These Girls
"12 Dec 2022, 11:55",The Lumineers,NEVER REALLY MINE
"12 Dec 2022, 11:51",The Avalanches,Since I Left You
"12 Dec 2022, 11:47",Deu Ruim,The Ponderosa Twins Plus One - Bound (Kanye West - Bound 2)
"12 Dec 2022, 11:44",Foreign Air,Everything Is Good Now
"12 Dec 2022, 11:44",The Kooks,Taking Pictures of You
"12 Dec 2022, 11:41",Dreamer Isioma,Meadows in Japan
"12 Dec 2022, 11:37",Lou Garcia,Bateria Social
"12 Dec 2022, 11:36",O Terno,A História Mais Velha do Mundo
"12 Dec 2022, 11:28",Tuyo,Descansar o Sentimento
"12 Dec 2022, 11:24",Tuyo,Coração Veloz
"12 Dec 2022, 11:18",Tuyo,Eu Vim Pela Comida
"12 Dec 2022, 11:14",Tuyo,Sonho Antigo
"12 Dec 2022, 11:11",Tuyo,Ela Sorriu Pra Mim
"12 Dec 2022, 11:09",Jovem Dionisio,Amor de Cão
"12 Dec 2022, 11:04",DUDA BEAT,Todo Carinho
"12 Dec 2022, 11:01",Extreme,Interface
"12 Dec 2022, 10:55",Extreme,More Than Words
"12 Dec 2022, 10:52",Arctic Monkeys,Jet Skis on the Moat
"12 Dec 2022, 10:48",The Strokes,You Only Live Once
"12 Dec 2022, 10:45",The Strokes,Last Nite
"12 Dec 2022, 10:41",The Strokes,Reptilia
"12 Dec 2022, 10:38",Cage the Elephant,Cold Cold Cold
"12 Dec 2022, 10:34",Arctic Monkeys,Do Me a Favour
"12 Dec 2022, 00:50",The Strokes,The Adults Are Talking
"12 Dec 2022, 00:47",Arctic Monkeys,Jet Skis on the Moat
"10 Dec 2022, 19:38",The Strokes,Reptilia
"10 Dec 2022, 19:34",The Strokes,Reptilia
"10 Dec 2022, 19:31",Cage the Elephant,Cold Cold Cold
"10 Dec 2022, 19:27",Arctic Monkeys,Do Me a Favour
"10 Dec 2022, 19:22",The Strokes,The Adults Are Talking
"10 Dec 2022, 19:19",Arctic Monkeys,Jet Skis on the Moat
"10 Dec 2022, 19:14",Caroline Polachek,Welcome to My Island
"10 Dec 2022, 19:09",Gorillaz,Skinny Ape
"10 Dec 2022, 18:38",Lana Del Rey,Did You Know That There's a Tunnel Under Ocean Blvd
"10 Dec 2022, 03:02",BLAck pARty,I Love You More Than You Know (feat. Childish Gambino)
"10 Dec 2022, 02:58",Alexandra Savior,Can't Help Myself
"10 Dec 2022, 02:49",Kid Bloom,"I Kissed A Girl, And She Kissed Me"
"10 Dec 2022, 02:46",The Buttertones,Reminiscing
"10 Dec 2022, 02:43",Pablo Vermell,Can I Call You?
"10 Dec 2022, 02:40",Sophi,Toque de Recolher
"10 Dec 2022, 02:38",lalalaura,Conto de Falhas
"10 Dec 2022, 00:08",Jovem Dionisio,Copacabana
"10 Dec 2022, 00:05",Gilsons,Várias Queixas
"10 Dec 2022, 00:02",Lagum,Reggae Bom
"10 Dec 2022, 00:00",Capim-Limão,Saudade Doce
"09 Dec 2022, 23:57",Versos que Compomos na Estrada,Minha Voz
"09 Dec 2022, 23:55",Lagum,Não Vou Mentir
"09 Dec 2022, 23:55",Agnes Nunes,Última Dança
"09 Dec 2022, 23:52",Lagum,Não Vou Mentir
"09 Dec 2022, 23:52",Saudade,vou-me embora de mim
"09 Dec 2022, 23:49",Clara Valverde,samba do moço bonito
"09 Dec 2022, 23:49",Saudade,vou-me embora de mim
"09 Dec 2022, 23:46",Clara Valverde,samba do moço bonito
"09 Dec 2022, 23:43",Deu Ruim,ivyson - Girassol - Acústico
"09 Dec 2022, 23:43",Jovem Dionisio,Risco
"09 Dec 2022, 23:42",Deu Ruim,ivyson - Girassol - Acústico
"09 Dec 2022, 23:41",O Terno,A História Mais Velha do Mundo
"09 Dec 2022, 23:39",Lagum,A Gente Nunca Conversou (Ei Moça)
"09 Dec 2022, 23:36",Lagum,EU TE AMO
"09 Dec 2022, 23:34",Cage the Elephant,Cold Cold Cold
"09 Dec 2022, 22:46",Arctic Monkeys,Do Me a Favour
"09 Dec 2022, 22:41",The Strokes,The Adults Are Talking
"09 Dec 2022, 22:38",Arctic Monkeys,Jet Skis on the Moat
"09 Dec 2022, 22:25",The 1975,Robbers
"09 Dec 2022, 22:20",The 1975,It's Not Living (If It's Not With You)
"09 Dec 2022, 22:15",The 1975,About You
"09 Dec 2022, 22:11",The 1975,Oh Caroline
"09 Dec 2022, 22:00",Fall Out Boy,"Dance, Dance"
"09 Dec 2022, 21:57",Paramore,Misery Business
"09 Dec 2022, 21:52",Panic! at the Disco,Do It to Death
"09 Dec 2022, 21:48",Panic! at the Disco,All by Yourself
"09 Dec 2022, 21:44",Panic! at the Disco,Sad Clown
"09 Dec 2022, 21:40",Panic! at the Disco,Something About Maggie
"09 Dec 2022, 21:37",Panic! at the Disco,Sugar Soaker
"09 Dec 2022, 21:34",Panic! at the Disco,Say It Louder
"09 Dec 2022, 21:29",Panic! at the Disco,God Killed Rock and Roll
"09 Dec 2022, 21:26",Panic! at the Disco,Star Spangled Banger
"09 Dec 2022, 21:21",Panic! at the Disco,Middle of a Breakup
"09 Dec 2022, 21:21",Panic! at the Disco,Don't Let the Light Go Out
"09 Dec 2022, 21:17",Panic! at the Disco,Middle of a Breakup
"09 Dec 2022, 21:14",Panic! at the Disco,Viva Las Vengeance
"09 Dec 2022, 21:08",The Kooks,Seaside
"09 Dec 2022, 21:06",The Killers,Human
"09 Dec 2022, 21:04",The Strypes,Eighty-Four
"09 Dec 2022, 20:16",Cage the Elephant,Cigarette Daydreams
"09 Dec 2022, 20:13",Sex Pistols,God Save the Queen
"09 Dec 2022, 20:10",New Politics,Girl Crush
"09 Dec 2022, 19:02",Demob Happy,Man You're Wrong
"09 Dec 2022, 18:58",Local Natives,Hourglass
"09 Dec 2022, 18:54",Halloweens,My Baby Looks Good with Another
"09 Dec 2022, 18:50",Hot Flash Heat Wave,Gutter Girl
"09 Dec 2022, 18:47",Arcy Drive,Roll My Stone
"09 Dec 2022, 18:44",Summer Salt,One Last Time
"09 Dec 2022, 18:41",Oscar Lang,I've Never Been To LA
"09 Dec 2022, 18:33",Tame Impala,One More Hour
"09 Dec 2022, 18:29",The Sukis,Becca
"09 Dec 2022, 18:26",Charlie Burg,Break The Rhythm
"09 Dec 2022, 18:22",The Jungle Giants,She's a Riot
"09 Dec 2022, 18:16",Pluralone,The Night Won't Scare Me
"09 Dec 2022, 18:13",Beach Weather,Swoon
"09 Dec 2022, 18:10",Marcus Mumford,Dangerous Game
"09 Dec 2022, 18:06",Miles Kane and the Death Ramps,Little Illusion Machine (Wirral Riddler)
"09 Dec 2022, 18:03",Sports Team,Long Hot Summer
"09 Dec 2022, 18:00",The Vines,Funny Thing
"09 Dec 2022, 17:56",Dark Stares,Liquid Reign
"09 Dec 2022, 17:54",The Vaccines,Young American
"09 Dec 2022, 14:26",The Drums,Book Of Revelation
"09 Dec 2022, 14:23",Drowners,A Button on Your Blouse
"09 Dec 2022, 14:20",Hotel Ugly,I Think I Left the Stove On
"09 Dec 2022, 14:15",Hot Hot Heat,Magnitude
"09 Dec 2022, 14:11",The Maccabees,WW1 Portraits
"09 Dec 2022, 14:08",Peace,The Music Was To Blame
"09 Dec 2022, 14:05",DJ Patrick Muniz,A Caminho do Bega
"09 Dec 2022, 12:26",Kings Kaleidoscope,Forever Again
"08 Dec 2022, 22:14",My Chemical Romance,Skylines and Turnstiles
"08 Dec 2022, 22:10",My Chemical Romance,I'm Not Okay (I Promise)
"08 Dec 2022, 22:10",Deu Ruim,My Chemical Romance - Dead! - Live in Mexico City
"08 Dec 2022, 22:07",My Chemical Romance,I'm Not Okay (I Promise)
"08 Dec 2022, 22:03",Gorillaz,On Melancholy Hill
"08 Dec 2022, 21:57",Panic! at the Disco,New Perspective
"08 Dec 2022, 21:50",Panic! at the Disco,This Is Gospel
"08 Dec 2022, 21:40",Fall Out Boy,"Sugar, We're Goin Down"
"08 Dec 2022, 21:37",Fall Out Boy,Thnks fr th Mmrs
"08 Dec 2022, 21:33",Fall Out Boy,Centuries
"08 Dec 2022, 21:30",The Kooks,Taking Pictures of You
"08 Dec 2022, 21:26",The Kooks,Bad Habit
"08 Dec 2022, 21:25",The Kooks,Seaside
"08 Dec 2022, 21:22",The Kooks,Naive
"08 Dec 2022, 21:22",The Kooks,She Moves in Her Own Way
"08 Dec 2022, 21:18",The Kooks,Naive
"08 Dec 2022, 21:18",The Strokes,Ode to the Mets
"08 Dec 2022, 21:13",The Strokes,Ode to the Mets
"08 Dec 2022, 21:09",The Strokes,Under Cover of Darkness
"08 Dec 2022, 21:04",The Strokes,Why Are Sundays So Depressing
"08 Dec 2022, 21:00",The Strokes,Selfless
"08 Dec 2022, 20:57",The Strokes,Someday
"08 Dec 2022, 20:57",The Strokes,"Call It Fate, Call It Karma"
"08 Dec 2022, 20:54",The Strokes,"Call It Fate, Call It Karma"
"08 Dec 2022, 20:51",The Strokes,You Only Live Once
"08 Dec 2022, 20:47",The Strokes,Last Nite
"08 Dec 2022, 20:44",The Strokes,Reptilia
"08 Dec 2022, 20:40",Cage the Elephant,Cold Cold Cold
"08 Dec 2022, 20:38",Arctic Monkeys,Do Me a Favour
"08 Dec 2022, 20:32",The Strokes,The Adults Are Talking
"08 Dec 2022, 20:29",Arctic Monkeys,Jet Skis on the Moat
"08 Dec 2022, 20:26",Terno Rei,Difícil
"08 Dec 2022, 20:23",Terno Rei,Sorte Ainda
"08 Dec 2022, 20:20",Terno Rei,Dias da Juventude
"08 Dec 2022, 20:18",Terno Rei,Sorte Ainda
"08 Dec 2022, 20:15",Terno Rei,Dias da Juventude
"08 Dec 2022, 20:11",Terno Rei,Esperando Você
"08 Dec 2022, 20:09",Catfish and the Bottlemen,Kathleen
"07 Dec 2022, 17:51",Vampire Weekend,Diane Young
"07 Dec 2022, 17:48",Mac DeMarco,The Way You'd Love Her
"07 Dec 2022, 17:43",Arctic Monkeys,Do I Wanna Know?
"07 Dec 2022, 17:39",MGMT,Electric Feel
"07 Dec 2022, 17:36",Mac DeMarco,My Kind of Woman
"06 Dec 2022, 22:27",The Naked and Famous,Young Blood
"06 Dec 2022, 22:27",Mac DeMarco,I'm a Man
"06 Dec 2022, 22:23",MF DOOM,Doomsday
"06 Dec 2022, 22:18",Two Door Cinema Club,What You Know
"06 Dec 2022, 22:13",Mac DeMarco,Freaking Out the Neighborhood
"06 Dec 2022, 22:13",Deu Ruim,"The Smiths - Please, Please, Please, Let Me Get What I Want - 2011 Remaster"
"06 Dec 2022, 22:02",Mac DeMarco,Freaking Out the Neighborhood
"06 Dec 2022, 15:32",Arctic Monkeys,Body Paint
"06 Dec 2022, 15:31",Dominic Fike,Babydoll
"06 Dec 2022, 15:27",Arctic Monkeys,505
"06 Dec 2022, 15:23",The Neighbourhood,Sweater Weather
"06 Dec 2022, 15:20",New Politics,Harlem
"06 Dec 2022, 15:17",Mac DeMarco,Watching Him Fade Away
"06 Dec 2022, 15:14",BØRNS,Electric Love
"06 Dec 2022, 15:11",U2,Sweetest Thing
"06 Dec 2022, 12:41",The 1975,Chocolate
"06 Dec 2022, 12:38",Mac DeMarco,Only You
"06 Dec 2022, 12:34",Deu Ruim,The Beatles - Come Together - Remastered 2015
"06 Dec 2022, 12:31",The Strokes,Call Me Back
"06 Dec 2022, 12:19",Arctic Monkeys,Fluorescent Adolescent
"06 Dec 2022, 12:17",Mac DeMarco,Salad Days
"06 Dec 2022, 12:13",Arctic Monkeys,She's Thunderstorms
"06 Dec 2022, 12:10",Arctic Monkeys,Fake Tales of San Francisco
"06 Dec 2022, 12:07",Arctic Monkeys,Jet Skis on the Moat
"06 Dec 2022, 02:57",The Strokes,Why Are Sundays So Depressing
"06 Dec 2022, 02:54",The Strokes,Selfless
"06 Dec 2022, 02:51",The Strokes,Someday
"06 Dec 2022, 02:47",The Strokes,"Call It Fate, Call It Karma"
"06 Dec 2022, 02:44",The Strokes,You Only Live Once
"06 Dec 2022, 02:41",The Strokes,Last Nite
"06 Dec 2022, 02:37",The Strokes,Reptilia
"06 Dec 2022, 02:34",Cage the Elephant,Cold Cold Cold
"06 Dec 2022, 02:30",Arctic Monkeys,Do Me a Favour
"06 Dec 2022, 02:25",The Strokes,The Adults Are Talking
"06 Dec 2022, 02:21",Arctic Monkeys,Jet Skis on the Moat
"06 Dec 2022, 02:09",Deu Ruim,Fresno - Essa Coisa (Acorda - Trabalha - Repete - Mantém)
"05 Dec 2022, 23:45",Cigarettes After Sex,Neon Moon
"05 Dec 2022, 23:41",Cigarettes After Sex,Falling in Love
"05 Dec 2022, 23:36",Cigarettes After Sex,K.
"05 Dec 2022, 23:32",Cigarettes After Sex,Keep On Loving You
"05 Dec 2022, 23:28",Cigarettes After Sex,You're All I Want
"05 Dec 2022, 23:23",Cigarettes After Sex,Heavenly
"05 Dec 2022, 23:19",Cigarettes After Sex,Sunsetz
"05 Dec 2022, 23:07",Cigarettes After Sex,Heavenly
"05 Dec 2022, 23:04",Cigarettes After Sex,Sunsetz
"05 Dec 2022, 22:59",Cigarettes After Sex,Nothing's Gonna Hurt You Baby
"05 Dec 2022, 22:57",Cigarettes After Sex,Pistol
"05 Dec 2022, 22:53",Cigarettes After Sex,Cry
"05 Dec 2022, 22:51",Catfish and the Bottlemen,Oxygen
"05 Dec 2022, 22:46",Deu Ruim,Catfish and the Bottlemen - Cocoon - Jim Eno Sessions
"05 Dec 2022, 22:44",Catfish and the Bottlemen,Kathleen
"05 Dec 2022, 18:41",Catfish and the Bottlemen,Heathrow
"05 Dec 2022, 18:38",Catfish and the Bottlemen,Oxygen
"05 Dec 2022, 18:35",Catfish and the Bottlemen,Red
"05 Dec 2022, 18:31",Catfish and the Bottlemen,Twice
"05 Dec 2022, 18:24",Arctic Monkeys,She's Thunderstorms
"05 Dec 2022, 18:23",The Killers,Human
"05 Dec 2022, 18:20",Arctic Monkeys,She's Thunderstorms
"05 Dec 2022, 18:16",Mac DeMarco,Ode to Viceroy
"05 Dec 2022, 18:14",The Kooks,Taking Pictures of You
"05 Dec 2022, 18:12",The Kooks,Taking Pictures of You
"05 Dec 2022, 18:10",Arctic Monkeys,Fireside
"05 Dec 2022, 18:07",Mac DeMarco,Another One
"05 Dec 2022, 18:04",Arctic Monkeys,Why'd You Only Call Me When You're High?
"05 Dec 2022, 18:00",Arctic Monkeys,Dance Little Liar
"05 Dec 2022, 17:56",The Strokes,Reptilia
